text,Hybrid identity narratives _score,Hybrid identity narratives ,Transparency and accountability cues _score,Transparency and accountability cues ,Storytelling and personal narratives_score,Storytelling and personal narratives,Current social movements _score,Current social movements 
wir sind ein junges gründerteam aus drei personen nachdem jeder von uns seine ganz eigenen erfahrung mit der verschmutzung der umwelt gemacht hat kamen wir auf die idee selbst akzente zu setzen um etwas aktiv dagegen zu tun für die produktion greifen wir auf die expertise eines exklusiven partnernetzwerks zurück neben einem traditionsreichen deutschen glashersteller steht uns ein unternehmen zur seite das sich durch mehr als 25 jahre erfahrung in der produktion von spezialgläsern auszeichnet,0.03702939301729202,No,0.045495450496673584,No,0.02861063927412033,No,0.011411966755986214,No
melina bucher handtaschen vereinen ethik mit ästhetik handgefertigt in unserem atelier in süddeutschland werden jahrhunderte altes täschnerhandwerk mit zukunftsweisenden materialien kombiniert meisterliche qualität trifft auf zirkuläres design  für einzigartige taschen im einklang mit der natur,-0.027023740112781525,No,-0.0017241686582565308,No,-0.01470039039850235,No,-0.04970342665910721,No
der starkmacher ev ist eine art ideen und projektbörse von und für menschen denen die förderung und entfaltung von potentialen in jugendlichen am herzen liegt ziel ist es ehrenamtliche und professionelle kräfte in einer guten zusammenarbeit zu bündeln netzwerke zu schaffen und auszubauen und wichtige kompetenzen im bereich der jugend und bildungsarbeit wirksam auszuschöpfen die projekte des starkmacher ev werden von verschiedenen euförderprogrammen unterstützt,-0.04699210822582245,No,-0.10054436326026917,No,-0.08697819709777832,No,-0.08271045237779617,No
wir sind profitabel aber auch menschenfreundlich,0.18133577704429626,No,0.10453906655311584,No,0.1156952828168869,No,0.14842435717582703,No
atemschutz ist ein menschenrecht,0.2589676082134247,No,0.2641505002975464,No,0.2369852513074875,No,0.3851104974746704,No
